cargo_volume,temperature,precipitation,traffic_volume,terminal_code,day_of_week,time_block,wait_time_mins
1516.0,-2.434684222031686,0,309,PNC,SUN,06-12,111
2843.0,11.372793436868673,0,556,HPNT,SUN,00-06,123
3267.0,-7.514986566563719,0,570,HPNT,FRI,00-06,142
837.0,32.40725543010246,0,520,PNIT,SAT,18-24,82
1378.0,,5,210,HJNC,THU,12-18,76
1576.0,9.730552186276018,0,338,PNC,THU,00-06,78
1291.0,13.844656748983677,50,389,HPNT,SAT,06-12,166
,34.338672452927845,0,551,PNC,WED,18-24,127
1263.0,-2.5290179360712646,50,155,PNC,MON,12-18,136
2735.0,-4.850581662443865,20,524,HJNC,TUE,00-06,144
879.0,-9.608223382185539,0,512,PNIT,THU,00-06,62
992.0,-2.9992853408813964,0,532,HJNC,SAT,18-24,102
1680.0,-0.6727159419549569,50,202,HPNT,THU,12-18,171
2562.0,18.376142371239155,20,198,HPNT,WED,12-18,114
564.0,-0.11319443238698135,0,237,PNC,SUN,18-24,82
3068.0,-9.076563337180366,20,180,HJNC,SUN,00-06,116
1867.0,27.19782554761199,5,501,HJNC,TUE,00-06,109
1652.0,6.451806545178506,50,565,PNC,SUN,12-18,189
2527.0,5.916350896133027,20,540,PNIT,SUN,12-18,170
3195.0,3.6115563125566954,0,525,PNC,WED,06-12,127
1995.0,33.89179747158894,20,312,PNC,MON,06-12,90
1662.0,-2.344806221082333,0,587,HPNT,WED,06-12,119
2022.0,30.420712877895582,0,508,HJNC,TUE,12-18,108
3140.0,24.956149946294957,0,585,HPNT,SUN,12-18,165
891.0,-6.5584020025309115,0,344,PNC,TUE,12-18,78
2198.0,34.40280956753819,20,484,HJNC,THU,00-06,133
918.0,2.211468359255475,5,324,PNC,MON,18-24,75
2836.0,-5.563768283991445,20,357,PNC,FRI,12-18,184
878.0,27.319140535659173,0,425,PNIT,THU,00-06,81
2296.0,,20,207,HPNT,SUN,12-18,115
2778.0,17.774846264505534,0,253,HPNT,SAT,18-24,106
2588.0,-2.980861133548008,0,124,PNC,WED,12-18,78
2682.0,11.532325231518286,5,429,PNIT,WED,00-06,100
700.0,25.12502120992462,20,353,PNC,TUE,12-18,117
2363.0,3.6630772164728107,20,111,PNC,SAT,12-18,134
1279.0,4.026042283176865,0,157,PNC,TUE,12-18,75
3477.0,-9.858659227834504,5,236,PNIT,SAT,06-12,133
1002.0,,50,278,HJNC,TUE,12-18,140
2954.0,29.39325313048254,20,97,PNIT,FRI,00-06,121
2251.0,9.87859212369682,20,317,PNC,FRI,00-06,159
1304.0,34.29055246554953,50,303,HJNC,THU,00-06,143
2646.0,7.806858360820666,0,136,PNC,FRI,12-18,138
3231.0,,0,230,PNIT,SAT,18-24,82
2395.0,2.6863569307128117,0,74,PNIT,TUE,00-06,58
3273.0,6.371433851342008,0,437,HJNC,SAT,06-12,145
2070.0,-1.4173305584097413,5,271,PNIT,THU,18-24,82
1460.0,5.617806582472774,20,446,PNC,THU,00-06,135
3160.0,14.625688418928942,20,560,HJNC,SUN,12-18,190
1985.0,34.629779644066225,0,489,HPNT,MON,06-12,94
3190.0,19.889077088230355,20,224,PNC,FRI,00-06,177
,-1.033932051625868,0,360,HPNT,WED,06-12,81
1002.0,-7.976735128380199,0,323,HJNC,WED,18-24,62
3314.0,,0,84,HJNC,MON,00-06,83
897.0,15.31498405728713,0,266,PNC,TUE,12-18,81
1370.0,24.432214796754486,20,457,PNIT,MON,06-12,96
3342.0,32.318864328533614,0,568,PNC,TUE,00-06,147
892.0,-9.287957260143063,0,318,PNIT,FRI,18-24,96
706.0,13.52420637028414,5,524,PNIT,FRI,18-24,105
1538.0,11.189031030042955,20,374,PNC,THU,00-06,89
2381.0,19.522475988906677,50,405,HJNC,THU,18-24,169
3439.0,15.181048450940388,5,139,PNC,THU,06-12,103
1984.0,,20,91,HPNT,THU,06-12,91
1363.0,19.613716313713567,5,414,HJNC,WED,06-12,88
3290.0,-4.734472381392421,0,251,PNIT,SUN,06-12,111
1063.0,25.987306112842383,5,415,HJNC,THU,18-24,62
1520.0,-4.454534092765382,0,337,PNC,THU,00-06,73
595.0,21.43387813441117,5,530,HJNC,THU,18-24,86
2423.0,8.726541543827302,20,550,PNIT,TUE,18-24,150
2257.0,13.123283055946906,50,101,PNIT,SAT,00-06,153
3032.0,30.648410646906974,50,152,HJNC,THU,00-06,157
2778.0,30.044767691306895,0,410,HPNT,MON,12-18,127
3296.0,26.803533754476327,5,473,PNIT,THU,06-12,119
2178.0,12.956677120534547,50,254,HPNT,THU,00-06,159
1040.0,23.130791456022493,5,63,PNIT,WED,18-24,31
1559.0,13.080367498346423,50,519,HJNC,SAT,06-12,176
3072.0,29.132273711364988,5,515,PNIT,THU,06-12,148
1683.0,8.124912495480494,20,353,HPNT,SAT,18-24,115
2222.0,,5,476,HPNT,TUE,00-06,128
2319.0,31.95452412029949,20,159,HJNC,FRI,06-12,125
3125.0,23.372117875330346,20,564,HPNT,SAT,06-12,140
3229.0,,0,117,HPNT,SAT,06-12,83
3104.0,-4.075588504303372,50,295,HJNC,THU,06-12,167
2097.0,28.461655254193886,0,438,PNIT,SUN,06-12,88
3193.0,-2.5613971237917426,20,357,HJNC,THU,18-24,106
1295.0,28.441735504880107,50,401,PNIT,THU,00-06,153
1551.0,12.084425302056221,0,115,PNIT,WED,00-06,52
2143.0,8.295055271364689,5,509,PNIT,SUN,06-12,123
1863.0,30.64358504754931,0,396,PNC,FRI,06-12,125
2481.0,17.173294214312506,5,374,PNIT,WED,06-12,101
1854.0,15.947630320837298,0,82,HJNC,WED,18-24,68
2163.0,15.144467508097893,20,117,HJNC,WED,18-24,108
2029.0,6.702628220878914,0,236,HJNC,SUN,12-18,86
2538.0,25.353939658810724,20,241,PNC,TUE,06-12,117
1996.0,1.3759299807097847,5,262,HPNT,FRI,12-18,156
2737.0,32.250273201857375,0,477,PNC,TUE,12-18,137
1908.0,30.229334227113235,20,400,HJNC,TUE,12-18,125
1900.0,5.186614655370418,0,157,HJNC,FRI,00-06,76
1806.0,22.82586964242487,5,289,HPNT,TUE,12-18,80
3180.0,15.795043750231617,0,265,PNC,SUN,06-12,69
3175.0,5.194218589965557,0,226,HJNC,FRI,18-24,118
1472.0,34.4834741597951,20,379,PNIT,SAT,06-12,104
2268.0,-8.864319436828112,0,499,PNIT,SAT,18-24,90
1782.0,1.3690713779578996,5,496,HJNC,THU,00-06,92
1209.0,13.403332750001766,20,586,PNIT,WED,00-06,108
1979.0,13.487885156535373,20,228,HPNT,SAT,06-12,78
1934.0,16.501988372550386,0,444,HJNC,SAT,00-06,90
1148.0,23.82542774103137,0,194,PNC,TUE,18-24,62
817.0,18.05650237336834,5,247,HJNC,FRI,00-06,80
1757.0,17.012665723761664,0,133,HPNT,MON,12-18,95
1183.0,-7.591849168913052,50,134,PNC,TUE,12-18,144
1163.0,6.943862950518422,50,506,HPNT,TUE,00-06,172
2498.0,0.44250828655201957,5,525,PNIT,SUN,06-12,120
2131.0,1.941655022088895,0,302,PNIT,FRI,12-18,142
1995.0,14.94518634531552,50,121,PNIT,MON,18-24,115
1636.0,-1.0222608281676209,0,272,HPNT,MON,06-12,82
2353.0,3.227709545760389,0,325,HPNT,THU,00-06,89
2020.0,0.6688118832803038,20,295,HJNC,TUE,06-12,126
2989.0,32.682632444818765,50,390,PNC,SUN,06-12,179
1063.0,32.509957947699284,0,520,PNC,WED,06-12,109
1791.0,17.447370136822325,20,503,HPNT,SAT,06-12,134
2136.0,31.6035110929355,0,56,HPNT,TUE,00-06,44
3499.0,25.361569046076795,5,237,PNIT,WED,00-06,128
1198.0,16.547654726081394,20,53,HPNT,WED,12-18,73
2660.0,-9.710415482644192,0,174,PNIT,FRI,12-18,113
501.0,24.76323287357318,5,64,HPNT,TUE,18-24,53
1141.0,21.611975371481098,5,574,PNC,FRI,18-24,132
2767.0,,0,289,HJNC,THU,12-18,115
2089.0,24.21909402571123,0,409,HPNT,WED,12-18,105
1354.0,13.081497414864458,0,567,PNIT,MON,06-12,106
2259.0,21.683747209460257,0,369,HJNC,WED,12-18,108
,32.0827439026922,0,280,PNIT,THU,18-24,99
2161.0,6.911225713073883,5,79,PNIT,WED,12-18,71
,21.865482570528144,0,583,HJNC,FRI,06-12,130
1576.0,11.405951810493143,0,205,HJNC,TUE,18-24,64
2207.0,20.34798433162917,0,448,HJNC,MON,00-06,106
3277.0,24.33020009994639,0,395,HPNT,FRI,12-18,170
2195.0,-7.954637480389182,0,244,HJNC,SAT,00-06,73
2233.0,19.097019977689786,20,217,HPNT,TUE,18-24,110
1939.0,0.20335329831250526,0,426,PNC,MON,12-18,126
2794.0,20.151464201340506,0,538,PNC,THU,00-06,97
1335.0,11.074858367021605,5,411,PNIT,WED,12-18,102
702.0,,0,531,PNIT,MON,00-06,80
622.0,-4.446963315748161,50,293,HPNT,SUN,00-06,112
900.0,18.18450582452878,5,220,PNIT,SAT,18-24,71
1266.0,2.5311828017398543,20,562,PNC,THU,12-18,150
793.0,28.384189789876615,0,455,HPNT,TUE,00-06,86
2827.0,,20,256,HPNT,SUN,12-18,174
3431.0,34.837923215557495,0,203,HJNC,MON,12-18,123
697.0,25.820333109227747,0,97,HPNT,THU,06-12,29
2430.0,23.918033169260205,20,50,PNIT,TUE,18-24,107
3299.0,,0,456,PNC,SUN,12-18,132
2691.0,5.120317654554894,0,156,PNIT,SUN,12-18,106
1108.0,10.955714379302577,0,222,PNC,FRI,12-18,119
1647.0,24.802147150201236,50,555,HJNC,WED,18-24,185
686.0,31.17346392850859,0,179,PNC,THU,18-24,62
3011.0,-1.4887404989656918,0,447,HJNC,SUN,12-18,130
2294.0,31.50653681015463,0,343,PNIT,FRI,18-24,130
1159.0,21.303109355932612,20,496,HJNC,SAT,06-12,114
3311.0,17.48468288082674,0,65,HPNT,SAT,18-24,86
2455.0,-1.007142792312722,50,398,HPNT,TUE,06-12,177
2950.0,-7.501373523588225,0,252,PNC,SUN,06-12,102
1869.0,15.580920432857297,5,183,PNIT,SUN,06-12,72
2486.0,19.31820574980016,0,575,PNIT,MON,00-06,95
2034.0,-0.5148347790390293,50,557,PNC,SUN,18-24,183
646.0,15.040529262145537,0,115,HPNT,WED,12-18,59
3411.0,28.54220312431581,0,529,HJNC,TUE,06-12,130
2234.0,27.5779675454759,0,508,PNC,THU,12-18,132
2343.0,31.73098312638337,0,391,HJNC,SUN,06-12,94
988.0,6.464861430059621,5,208,HJNC,WED,12-18,73
,4.312230764791341,0,210,PNIT,SUN,00-06,121
2459.0,23.724170269136387,20,303,HPNT,FRI,06-12,183
2163.0,9.400058229365225,20,576,HJNC,WED,00-06,154
3098.0,-6.0603101187498725,0,598,HPNT,FRI,00-06,153
2885.0,2.7260508801724868,0,204,PNIT,TUE,18-24,91
3419.0,8.836202848917011,0,535,PNC,SUN,12-18,154
1140.0,3.1632391464313407,0,481,PNC,MON,06-12,90
2302.0,4.949250692629473,50,76,PNIT,SAT,00-06,141
3020.0,3.219915777847584,50,61,PNIT,WED,12-18,180
2469.0,-8.132537476761424,50,116,HJNC,MON,18-24,172
2698.0,18.669261537099914,5,591,PNIT,MON,12-18,122
1938.0,16.87815891590612,0,145,PNC,SAT,12-18,75
2134.0,19.402257431540626,0,264,HPNT,WED,18-24,93
762.0,-1.3460546784867642,20,243,HPNT,SUN,18-24,78
2287.0,3.304454372561837,50,339,HPNT,WED,18-24,173
2691.0,17.882716712521503,20,593,HPNT,MON,00-06,150
2893.0,16.983240580696464,20,88,PNIT,THU,12-18,150
1123.0,12.784863920942051,0,255,PNIT,THU,18-24,75
1516.0,5.768596250458883,5,533,HPNT,WED,12-18,125
1380.0,31.08189521486105,0,386,PNIT,MON,12-18,121
2549.0,5.28966090344797,5,545,HJNC,MON,00-06,127
3444.0,10.502862039676323,0,298,PNIT,TUE,12-18,129
1827.0,20.515122392939393,0,123,HJNC,MON,00-06,80
2801.0,14.435964389004386,0,422,HJNC,SAT,18-24,87
952.0,5.6098689363973495,0,187,PNIT,THU,18-24,50
1683.0,9.604015570542941,5,506,HPNT,TUE,12-18,127
2556.0,25.751636803407777,5,493,HJNC,SUN,00-06,114
2182.0,2.5158119968975594,0,402,PNIT,SAT,00-06,82
3363.0,-3.598514210043306,20,460,PNC,SUN,06-12,152
2755.0,4.092344082339968,0,587,HPNT,THU,06-12,101
1654.0,28.22903969695556,5,502,PNC,SAT,18-24,124
903.0,-5.9954628314644,0,468,HJNC,FRI,18-24,128
2699.0,34.62632330176033,0,499,PNC,WED,06-12,114
2601.0,14.345130451744811,50,164,PNIT,FRI,00-06,178
2196.0,34.318058478519234,0,100,HPNT,WED,12-18,61
1127.0,32.25483899386899,50,418,HJNC,THU,12-18,159
1086.0,10.376617139491255,20,564,PNIT,THU,00-06,140
2148.0,-1.0679016427592902,0,259,HPNT,FRI,18-24,108
1943.0,-2.58018505456877,50,484,HJNC,SAT,12-18,184
1945.0,0.7995213741480871,20,276,HJNC,SUN,00-06,107
603.0,21.955968825404177,50,317,HJNC,WED,12-18,140
753.0,2.2827497629169535,0,165,HJNC,WED,00-06,17
3057.0,5.364137132193424,0,409,PNC,TUE,06-12,107
1996.0,10.195046179757664,0,378,PNC,MON,06-12,72
598.0,31.095470618965535,0,89,PNC,SAT,12-18,57
2700.0,-1.4772961951819266,0,231,HJNC,SAT,12-18,121
2384.0,-9.77380513255886,0,539,PNC,TUE,12-18,120
3461.0,-7.2956615329823435,0,258,HPNT,THU,12-18,127
2419.0,30.714485375605307,0,322,HJNC,FRI,06-12,120
1377.0,19.13824091795134,0,168,HPNT,SAT,06-12,43
837.0,2.2868278697513045,20,431,HPNT,WED,00-06,65
3369.0,-2.0263374544964003,20,585,PNC,TUE,12-18,170
1456.0,3.242003148670145,5,307,HJNC,FRI,06-12,95
2204.0,-4.834138273692395,20,532,PNC,SUN,18-24,139
660.0,32.368980962799846,0,558,PNC,FRI,00-06,112
2103.0,25.28927784643701,0,141,PNC,SAT,00-06,84
3348.0,10.807602961064333,0,210,HJNC,MON,00-06,82
897.0,28.92331723018409,0,198,HJNC,WED,18-24,35
1800.0,,20,166,PNC,FRI,18-24,112
1315.0,22.27042558124871,0,507,HPNT,SUN,18-24,84
2027.0,28.525962455618455,5,94,HPNT,WED,06-12,70
2419.0,6.054592023047267,0,283,HJNC,SAT,18-24,93
1915.0,24.085900045282294,5,424,PNIT,TUE,00-06,69
1658.0,3.2782557168939217,20,596,PNC,SUN,12-18,170
1718.0,,0,246,PNC,FRI,00-06,106
900.0,-5.1824269650616275,5,74,PNIT,SUN,00-06,56
1139.0,9.802612092922942,0,444,HJNC,SAT,06-12,41
3235.0,22.837035792384,0,85,HPNT,FRI,00-06,125
959.0,32.30993625070782,5,523,HJNC,SUN,06-12,74
1454.0,17.170864636809323,5,272,HPNT,TUE,06-12,67
969.0,28.841099198108253,50,579,HPNT,SUN,12-18,203
1545.0,27.012259218060215,0,237,HJNC,WED,00-06,74
3297.0,-2.1995626161123614,0,451,PNC,WED,12-18,130
2193.0,11.861784301068415,0,306,PNC,FRI,12-18,146
2585.0,-4.738440901357384,20,185,PNC,SAT,00-06,115
2777.0,20.696892270273572,5,493,HPNT,TUE,00-06,116
1062.0,32.74548507107342,5,467,PNC,THU,18-24,92
2985.0,-3.8309743864559573,0,341,HPNT,WED,18-24,98
2299.0,23.02474088611436,0,178,PNC,SUN,06-12,79
2574.0,18.450716789053743,20,390,HJNC,THU,00-06,136
725.0,16.262226665364487,0,306,PNIT,SUN,06-12,62
1297.0,7.555410560975265,0,149,HPNT,FRI,12-18,129
2831.0,5.980924148921565,0,88,HJNC,THU,12-18,109
3426.0,-7.963786494150046,50,312,HPNT,SAT,18-24,199
1459.0,-0.1941081286593942,0,199,HPNT,SUN,06-12,51
2004.0,-9.31704029709279,0,379,HJNC,SAT,00-06,65
952.0,16.163769751190923,20,169,PNC,SUN,00-06,73
,-5.236604385494102,5,268,HPNT,THU,18-24,63
1158.0,29.28587273133722,0,172,PNIT,SAT,18-24,59
1046.0,13.541435931372437,50,293,PNIT,WED,06-12,132
1715.0,21.48604590764188,0,567,HJNC,FRI,18-24,150
516.0,8.488569132822342,0,70,PNIT,THU,18-24,1
1743.0,15.226091405047189,50,239,HJNC,SUN,18-24,139
2705.0,32.419662963498375,20,274,HJNC,WED,12-18,147
3024.0,,0,515,HPNT,SUN,06-12,107
1569.0,1.427199736566326,50,148,HJNC,THU,00-06,144
3065.0,25.09947471097449,0,412,HJNC,SUN,00-06,125
2646.0,-5.556825690280037,5,132,PNC,WED,06-12,77
2268.0,-6.595250324315012,0,105,HPNT,SAT,18-24,105
1560.0,6.2693629439317355,0,71,PNIT,SAT,18-24,31
2827.0,-5.852441868740546,5,234,PNC,FRI,00-06,107
3044.0,16.32852989927914,0,571,PNC,SUN,12-18,140
801.0,0.18238628674699164,0,313,HPNT,SAT,06-12,60
680.0,30.306408343971754,0,274,HPNT,TUE,18-24,26
1106.0,25.257503638036553,0,87,PNC,WED,12-18,70
1199.0,21.48673427447643,5,172,HPNT,WED,12-18,115
1492.0,17.762481232302587,0,205,HPNT,THU,18-24,39
1639.0,28.855957865365852,5,350,HJNC,FRI,06-12,118
690.0,0.03779276942406007,0,116,HPNT,MON,06-12,49
2800.0,29.289897924390246,20,443,HJNC,SAT,00-06,151
1480.0,25.527153429082354,5,454,PNC,MON,00-06,124
3475.0,23.66723718744585,20,498,PNC,TUE,06-12,152
2506.0,15.256505513371582,20,180,PNIT,FRI,18-24,167
1684.0,1.0809872436770043,0,118,HPNT,WED,06-12,54
627.0,9.059656219635336,0,394,PNC,MON,00-06,54
2565.0,25.71067945424607,0,369,HJNC,TUE,00-06,126
2316.0,-8.5699682039204,50,226,PNC,FRI,00-06,178
2258.0,25.192284616869124,0,578,HPNT,TUE,06-12,129
3113.0,0.8031833219404927,5,209,PNIT,SAT,06-12,93
1069.0,-3.5060859675278637,0,582,PNIT,MON,18-24,70
1846.0,-4.793440681886403,5,184,PNC,THU,00-06,53
2395.0,-8.77374946221332,50,160,PNIT,THU,12-18,179
3233.0,13.56139183496538,50,332,HPNT,FRI,12-18,216
1125.0,,20,569,HPNT,TUE,18-24,116
3401.0,34.52442946008342,0,243,PNIT,WED,18-24,92
2186.0,15.84965401424926,0,96,HJNC,MON,00-06,50
654.0,-3.7951628789795313,5,391,PNIT,THU,06-12,58
3037.0,20.99431433651144,0,291,PNIT,THU,06-12,102
1909.0,30.398460492937637,0,571,PNC,TUE,12-18,80
1284.0,23.533077291632644,5,419,HJNC,THU,00-06,97
745.0,-6.560206253224855,0,180,PNIT,SUN,12-18,43
2000.0,30.31478815366968,0,319,PNC,TUE,12-18,84
2205.0,25.726822363698417,5,110,PNC,MON,00-06,50
3306.0,-2.8763244952473546,0,213,PNC,TUE,18-24,101
1037.0,-7.669635007023241,50,574,HPNT,THU,12-18,205
2390.0,15.078975889143884,0,321,PNC,TUE,18-24,87
,-2.9783884897010395,0,182,PNC,THU,06-12,81
1420.0,27.55659286678724,0,293,HPNT,SAT,12-18,95
2955.0,6.12505955022532,5,483,HPNT,FRI,00-06,166
1024.0,31.080160013145893,5,87,PNC,THU,18-24,31
3375.0,15.455967746345259,5,368,PNIT,SUN,06-12,145
2029.0,-1.7797427092149345,0,559,HJNC,SUN,06-12,101
3450.0,-3.7180509688089955,0,425,HPNT,SUN,12-18,145
535.0,15.941259690098924,5,523,HJNC,SUN,06-12,78
1184.0,24.284762533809975,0,108,HPNT,THU,00-06,37
519.0,25.167754148398195,0,548,PNC,THU,12-18,109
2868.0,2.4090831998576565,50,267,HPNT,FRI,06-12,208
3059.0,-0.8088958489524636,50,178,PNC,SAT,00-06,131
899.0,-9.245966297842791,0,432,HJNC,WED,18-24,77
3201.0,20.56396180405262,0,437,PNIT,THU,18-24,149
1471.0,-6.554428370490745,50,134,PNC,WED,12-18,150
2406.0,8.934254079466662,5,559,HJNC,MON,00-06,113
3018.0,17.075697380823325,20,486,HJNC,SAT,06-12,143
1666.0,32.16990252138547,20,342,HPNT,TUE,12-18,119
1615.0,4.03109616300959,0,98,PNC,WED,12-18,54
1333.0,1.2397473100933905,50,116,HJNC,SUN,06-12,120
2323.0,19.43720694287443,50,178,PNIT,SAT,00-06,146
3274.0,17.865756442411175,0,78,HPNT,MON,06-12,92
2482.0,4.944940248865606,20,392,HPNT,SAT,18-24,121
1353.0,31.764582597940397,0,594,HJNC,TUE,12-18,146
550.0,28.018804737033477,5,168,PNC,THU,18-24,31
1074.0,0.07921456392865167,5,182,HPNT,THU,12-18,79
1648.0,0.7614145445535438,0,376,PNC,SUN,06-12,69
2697.0,13.053515609918627,0,234,HJNC,THU,00-06,79
2861.0,24.810744577882417,20,555,HJNC,FRI,06-12,178
3117.0,-8.018182927519103,0,583,PNC,FRI,18-24,163
2852.0,21.2000819180618,0,290,PNIT,FRI,00-06,138
2215.0,19.170615382194363,0,565,HPNT,SUN,00-06,103
1181.0,0.4166043160844701,0,214,HJNC,FRI,12-18,82
1337.0,20.660885595860695,5,267,PNIT,MON,00-06,91
1577.0,32.308243606343716,20,54,PNIT,SUN,12-18,82
2991.0,-7.894636976270417,5,130,PNC,SAT,00-06,86
3160.0,4.3843424881428135,20,296,PNC,MON,00-06,133
2811.0,9.717952249985988,0,542,PNC,THU,12-18,138
2095.0,30.46671615161103,5,435,PNIT,TUE,00-06,81
,33.30176509741205,0,356,HPNT,FRI,06-12,98
1626.0,9.985186092334953,20,592,PNC,SAT,00-06,89
1719.0,23.751278546398602,0,56,HPNT,TUE,18-24,64
1273.0,13.924746069401735,5,564,PNC,SUN,12-18,136
1376.0,14.200232063361941,0,122,PNIT,SUN,12-18,83
1491.0,2.5144781779860406,50,59,HPNT,MON,06-12,116
3431.0,-0.2369689361254217,5,171,HPNT,FRI,18-24,135
546.0,2.9602405665818523,5,562,PNIT,SUN,00-06,74
3414.0,15.03476032656857,5,490,HPNT,MON,06-12,135
3370.0,-8.688016629005995,0,87,PNIT,MON,00-06,95
3483.0,30.826202496038263,0,394,PNIT,WED,06-12,102
3203.0,-2.96723307026007,0,387,HJNC,SAT,12-18,130
768.0,-0.09600954078760537,5,233,PNC,MON,18-24,49
869.0,13.322427940144085,0,116,HJNC,THU,12-18,76
1135.0,21.95516448517757,5,66,PNIT,SUN,06-12,32
1629.0,-5.692192536502121,0,432,PNIT,MON,00-06,95
2193.0,4.296261389622298,20,417,HPNT,FRI,18-24,154
2182.0,33.59035725084607,0,365,PNIT,SUN,00-06,88
1156.0,1.805433505142556,0,546,PNIT,SUN,12-18,117
619.0,,5,394,PNIT,THU,00-06,63
